name,weight,side,role
Rafiki,214,either,
Moana,161,left,
Anna,153,either,
Maurice,181,either,
Isabela,186,either,
Maui,242,either,
Stitch,179,either,
Luisa,169,right,
Simba,204,either,
Ariel,223,either,
Cogsworth,101,either,drummer
Nala,138,either,
Jasmine,198,either,
Elsa,144,left,
Belle,132,either,
Lilo,123,either,
Jafer,182,either,
Antonio,195,either,
Bruno,157,either,drummer
Gaston,176,left,
Flounder,140,either,drummer
Iago,171,either,stern
Olaf,213,either,stern
Mufasa,183,none,stern
Lumiere,166,none,stern
